"ts (S)","aqicn (N)","aqius (N)","maincn (S)","mainus (S)","p2 (M)","city (S)"
"2020-03-31T23:00:00.000Z","11","33","p2","p2","{  ""aqicn"" : { ""N"" : ""11"" },  ""aqius"" : { ""N"" : ""33"" },  ""conc"" : { ""N"" : ""7.9"" }}","Astana"
"2020-04-01T05:00:00.000Z","8","24","p2","p2","{  ""aqicn"" : { ""N"" : ""8"" },  ""aqius"" : { ""N"" : ""24"" },  ""conc"" : { ""N"" : ""5.9"" }}","Astana"
"2020-04-01T07:00:00.000Z","11","33","p2","p2","{  ""aqicn"" : { ""N"" : ""11"" },  ""aqius"" : { ""N"" : ""33"" },  ""conc"" : { ""N"" : ""7.9"" }}","Astana"
"2020-04-01T11:00:00.000Z","22","58","p2","p2","{  ""aqicn"" : { ""N"" : ""22"" },  ""aqius"" : { ""N"" : ""58"" },  ""conc"" : { ""N"" : ""15.6"" }}","Astana"
"2020-04-01T13:00:00.000Z","15","43","p2","p2","{  ""aqicn"" : { ""N"" : ""15"" },  ""aqius"" : { ""N"" : ""43"" },  ""conc"" : { ""N"" : ""10.3"" }}","Astana"
"2020-04-02T02:00:00.000Z","27","66","p2","p2","{  ""aqicn"" : { ""N"" : ""27"" },  ""aqius"" : { ""N"" : ""66"" },  ""conc"" : { ""N"" : ""19"" }}","Astana"
"2020-04-02T10:00:00.000Z","12","36","p2","p2","{  ""aqicn"" : { ""N"" : ""12"" },  ""aqius"" : { ""N"" : ""36"" },  ""conc"" : { ""N"" : ""8.6"" }}","Astana"
"2020-04-02T18:00:00.000Z","27","65","p2","p2","{  ""aqicn"" : { ""N"" : ""27"" },  ""aqius"" : { ""N"" : ""65"" },  ""conc"" : { ""N"" : ""18.6"" }}","Astana"
"2020-04-03T06:00:00.000Z","42","87","p2","p2","{  ""aqicn"" : { ""N"" : ""42"" },  ""aqius"" : { ""N"" : ""87"" },  ""conc"" : { ""N"" : ""29.2"" }}","Astana"
"2020-04-03T11:00:00.000Z","32","73","p2","p2","{  ""aqicn"" : { ""N"" : ""32"" },  ""aqius"" : { ""N"" : ""73"" },  ""conc"" : { ""N"" : ""22.5"" }}","Astana"
"2020-04-03T13:00:00.000Z","31","71","p2","p2","{  ""aqicn"" : { ""N"" : ""31"" },  ""aqius"" : { ""N"" : ""71"" },  ""conc"" : { ""N"" : ""21.8"" }}","Astana"
"2020-04-03T14:00:00.000Z","41","86","p2","p2","{  ""aqicn"" : { ""N"" : ""41"" },  ""aqius"" : { ""N"" : ""86"" },  ""conc"" : { ""N"" : ""28.8"" }}","Astana"
"2020-04-03T22:00:00.000Z","66","132","p2","p2","{  ""aqicn"" : { ""N"" : ""66"" },  ""aqius"" : { ""N"" : ""132"" },  ""conc"" : { ""N"" : ""48"" }}","Astana"
"2020-04-04T02:00:00.000Z","49","98","p2","p2","{  ""aqicn"" : { ""N"" : ""49"" },  ""aqius"" : { ""N"" : ""98"" },  ""conc"" : { ""N"" : ""34.4"" }}","Astana"
"2020-04-04T04:00:00.000Z","34","75","p2","p2","{  ""aqicn"" : { ""N"" : ""34"" },  ""aqius"" : { ""N"" : ""75"" },  ""conc"" : { ""N"" : ""23.7"" }}","Astana"
"2020-04-04T11:00:00.000Z","23","60","p2","p2","{  ""aqicn"" : { ""N"" : ""23"" },  ""aqius"" : { ""N"" : ""60"" },  ""conc"" : { ""N"" : ""16.4"" }}","Astana"
"2020-04-05T01:00:00.000Z","20","55","p2","p2","{  ""aqicn"" : { ""N"" : ""20"" },  ""aqius"" : { ""N"" : ""55"" },  ""conc"" : { ""N"" : ""13.8"" }}","Astana"
"2020-04-07T04:00:00.000Z","25","62","p2","p2","{  ""aqicn"" : { ""N"" : ""25"" },  ""aqius"" : { ""N"" : ""62"" },  ""conc"" : { ""N"" : ""17.2"" }}","Almaty"
"2020-04-07T05:00:00.000Z","8","23","p2","p2","{  ""aqicn"" : { ""N"" : ""8"" },  ""aqius"" : { ""N"" : ""23"" },  ""conc"" : { ""N"" : ""5.6"" }}","Astana"
"2020-04-07T07:00:00.000Z","6","17","p2","p2","{  ""aqicn"" : { ""N"" : ""6"" },  ""aqius"" : { ""N"" : ""17"" },  ""conc"" : { ""N"" : ""4.1"" }}","Astana"
"2020-04-07T11:00:00.000Z","10","28","p2","p2","{  ""aqicn"" : { ""N"" : ""10"" },  ""aqius"" : { ""N"" : ""28"" },  ""conc"" : { ""N"" : ""6.7"" }}","Astana"
"2020-04-07T13:00:00.000Z","7","21","p2","p2","{  ""aqicn"" : { ""N"" : ""7"" },  ""aqius"" : { ""N"" : ""21"" },  ""conc"" : { ""N"" : ""5.1"" }}","Astana"
"2020-04-07T14:00:00.000Z","11","33","p2","p2","{  ""aqicn"" : { ""N"" : ""11"" },  ""aqius"" : { ""N"" : ""33"" },  ""conc"" : { ""N"" : ""7.9"" }}","Astana"
"2020-04-07T20:00:00.000Z","5","13","p2","p2","{  ""aqicn"" : { ""N"" : ""5"" },  ""aqius"" : { ""N"" : ""13"" },  ""conc"" : { ""N"" : ""3.2"" }}","Astana"
"2020-04-08T07:00:00.000Z","3","9","p2","p2","{  ""aqicn"" : { ""N"" : ""3"" },  ""aqius"" : { ""N"" : ""9"" },  ""conc"" : { ""N"" : ""2.1"" }}","Astana"
"2020-04-08T08:00:00.000Z","6","18","p2","p2","{  ""aqicn"" : { ""N"" : ""6"" },  ""aqius"" : { ""N"" : ""18"" },  ""conc"" : { ""N"" : ""4.4"" }}","Astana"
"2020-04-08T11:00:00.000Z","4","11","p2","p2","{  ""aqicn"" : { ""N"" : ""4"" },  ""aqius"" : { ""N"" : ""11"" },  ""conc"" : { ""N"" : ""2.6"" }}","Astana"
"2020-04-08T18:00:00.000Z","20","55","p2","p2","{  ""aqicn"" : { ""N"" : ""20"" },  ""aqius"" : { ""N"" : ""55"" },  ""conc"" : { ""N"" : ""14"" }}","Astana"
"2020-04-08T19:00:00.000Z","33","73","p2","p2","{  ""aqicn"" : { ""N"" : ""33"" },  ""aqius"" : { ""N"" : ""73"" },  ""conc"" : { ""N"" : ""22.8"" }}","Astana"
"2020-04-08T22:00:00.000Z","12","35","p2","p2","{  ""aqicn"" : { ""N"" : ""12"" },  ""aqius"" : { ""N"" : ""35"" },  ""conc"" : { ""N"" : ""8.4"" }}","Astana"
"2020-04-09T08:00:00.000Z","3","9","p2","p2","{  ""aqicn"" : { ""N"" : ""3"" },  ""aqius"" : { ""N"" : ""9"" },  ""conc"" : { ""N"" : ""2.3"" }}","Astana"
"2020-04-09T09:00:00.000Z","3","8","p2","p2","{  ""aqicn"" : { ""N"" : ""3"" },  ""aqius"" : { ""N"" : ""8"" },  ""conc"" : { ""N"" : ""1.9"" }}","Astana"
"2020-04-09T10:00:00.000Z","5","13","p2","p2","{  ""aqicn"" : { ""N"" : ""5"" },  ""aqius"" : { ""N"" : ""13"" },  ""conc"" : { ""N"" : ""3.2"" }}","Astana"
"2020-04-09T17:00:00.000Z","10","29","p2","p2","{  ""aqicn"" : { ""N"" : ""10"" },  ""aqius"" : { ""N"" : ""29"" },  ""conc"" : { ""N"" : ""7"" }}","Astana"
"2020-04-09T22:00:00.000Z","32","73","p2","p2","{  ""aqicn"" : { ""N"" : ""32"" },  ""aqius"" : { ""N"" : ""73"" },  ""conc"" : { ""N"" : ""22.5"" }}","Astana"
"2020-04-10T06:00:00.000Z","10","30","p2","p2","{  ""aqicn"" : { ""N"" : ""10"" },  ""aqius"" : { ""N"" : ""30"" },  ""conc"" : { ""N"" : ""7.1"" }}","Astana"
"2020-04-10T18:00:00.000Z","43","89","p2","p2","{  ""aqicn"" : { ""N"" : ""43"" },  ""aqius"" : { ""N"" : ""89"" },  ""conc"" : { ""N"" : ""30"" }}","Astana"
"2020-04-10T20:00:00.000Z","50","99","p2","p2","{  ""aqicn"" : { ""N"" : ""50"" },  ""aqius"" : { ""N"" : ""99"" },  ""conc"" : { ""N"" : ""35"" }}","Astana"
"2020-04-11T07:00:00.000Z","14","42","p2","p2","{  ""aqicn"" : { ""N"" : ""14"" },  ""aqius"" : { ""N"" : ""42"" },  ""conc"" : { ""N"" : ""10.1"" }}","Astana"
"2020-04-11T09:00:00.000Z","17","49","p2","p2","{  ""aqicn"" : { ""N"" : ""17"" },  ""aqius"" : { ""N"" : ""49"" },  ""conc"" : { ""N"" : ""11.8"" }}","Astana"
"2020-04-11T12:00:00.000Z","24","62","p2","p2","{  ""aqicn"" : { ""N"" : ""24"" },  ""aqius"" : { ""N"" : ""62"" },  ""conc"" : { ""N"" : ""17.1"" }}","Astana"
"2020-04-11T16:00:00.000Z","57","113","p2","p2","{  ""aqicn"" : { ""N"" : ""57"" },  ""aqius"" : { ""N"" : ""113"" },  ""conc"" : { ""N"" : ""40.5"" }}","Astana"
"2020-04-12T06:00:00.000Z","12","35","p2","p2","{  ""aqicn"" : { ""N"" : ""12"" },  ""aqius"" : { ""N"" : ""35"" },  ""conc"" : { ""N"" : ""8.4"" }}","Astana"
"2020-04-12T13:00:00.000Z","19","53","p2","p2","{  ""aqicn"" : { ""N"" : ""19"" },  ""aqius"" : { ""N"" : ""53"" },  ""conc"" : { ""N"" : ""13.1"" }}","Astana"
"2020-04-12T17:00:00.000Z","23","60","p2","p2","{  ""aqicn"" : { ""N"" : ""23"" },  ""aqius"" : { ""N"" : ""60"" },  ""conc"" : { ""N"" : ""16.3"" }}","Astana"
